Date,global radiation [Mj/qm],max temp [°C],min temp [°C],precipitation [mm],sunshine duration [h],rel hum [%],wind speed [m/s],mean temp [°C],dew point [°C],Kesselverdunstung [mm],vapour saturation deficit [%],snow height [mm],par [mol/qm*d],temp soil at 2cm [°C],temp soil at 5cm [°C],temp soil at 10cm [°C],temp soil at 20cm [°C],temp soil at 50cm [°C]
2016-04-01,15.87,13.15,2.4,0.1,99.9,77.86,1.5,6.25,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,6.611363094
2016-04-02,17.52,16.9,0.7,0,99.9,71.71,1.96,9.15,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,6.779173068
2016-04-03,12.12,21.29,8.74,0,99.9,61.62,1.36,14.38,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,7.152440266
2016-04-04,15.38,21.17,10.26,0,99.9,65.51,1.41,14.87,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,7.869811797
2016-04-05,10.02,18.31,7.56,0.3,99.9,85.61,1.94,11.63,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,8.680442182
2016-04-06,16.36,15.03,6.8,0,99.9,67.94,2.52,10.34,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,9.120158391
2016-04-07,11.6,12.9,3.81,0,99.9,61.85,2.67,7.4,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,9.243452214
2016-04-08,16.01,13.09,0.6,0,99.9,67.59,1.59,6.43,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,8.995576599
2016-04-09,16.57,15.38,0.34,0,99.9,62.41,1.51,8.2,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,8.652401672
2016-04-10,18.12,15.39,4.2,0,99.9,60.13,2.27,9.44,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,8.629344328
2016-04-11,11.57,14.25,3.51,0,99.9,75.08,2.39,8.27,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,8.847085979
2016-04-12,14.43,17.96,4.16,0,99.9,73.06,1.38,10.35,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,8.922534219
2016-04-13,10.49,14.01,5.04,0,99.9,79.05,1.69,9.15,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,9.057120536
2016-04-14,19.9,16.43,5.45,0,99.9,69.5,2.76,9.94,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,9.140365073
2016-04-15,12.1,16.66,6.14,0.2,99.9,71.09,2.01,10.28,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,9.384136297
2016-04-16,8.52,14.01,6.5,0.5,99.9,83.7,1.59,9.82,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,9.484576536
2016-04-17,11.49,11.32,1,0.1,99.9,75.13,2.35,6.39,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,9.551070547
2016-04-18,18.61,14.28,-0.58,0,99.9,63.43,1.89,6.99,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,9.380682052
2016-04-19,8.59,13.01,2.26,0,99.9,65.76,4.38,7.82,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,9.222262021
2016-04-20,22.55,14.4,-0.34,0,99.9,65.99,2.22,7.13,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,9.073840188
2016-04-21,24.56,20.8,-0.22,0,99.9,61.62,1.1,9.97,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,9.030288479
2016-04-22,22.08,15.1,1.66,0,99.9,63.21,1.89,8.22,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,9.222364464
2016-04-23,11.62,8.66,-1.35,0,99.9,71.22,3.07,4.07,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,9.417631865
2016-04-24,17.53,8.52,-1.81,0,99.9,80.04,3.92,2.22,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,9.198322458
2016-04-25,12.74,9.61,-0.22,0,99.9,79.53,2.56,3.42,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,8.879015193
2016-04-26,17.04,8.55,0.25,0.1,99.9,76.98,3.04,3.37,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,8.701259036
2016-04-27,7.67,6.73,0.77,0.3,99.9,86.31,2.86,2.97,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,8.570295208
2016-04-28,15.28,11.01,-0.18,0.1,99.9,80.62,2.47,3.97,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,8.313500401
2016-04-29,14.7,14.42,-0.17,0,99.9,59.01,1.58,7.08,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,8.217798042
2016-04-30,19.26,17.96,2.95,0,99.9,64.37,1.97,9.02,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,8.223227703
2016-05-01,23.55,17.91,3.95,0,99.9,69.61,2.91,10.1,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,8.531478453
2016-05-02,26.23,20.78,3.2,0,99.9,64.16,1.22,12.3,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,8.942229693
2016-05-03,7.87,13.01,3.47,0.1,99.9,82.72,2.23,8.3,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,9.402447661
2016-05-04,21.37,15.86,0.65,0,99.9,68.54,1.69,7.68,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,9.378236432
2016-05-05,27.05,18.74,0.78,0,99.9,61.19,1.96,11.64,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,9.364605927
2016-05-06,26.23,23.64,8.45,0,99.9,57.57,2.46,16.44,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,9.671738203
2016-05-07,27.52,23.69,10.84,0,99.9,46.63,2.94,17.74,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,10.24687395
2016-05-08,27.8,22.55,10.59,0,99.9,51.06,3.26,16.88,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,10.77630427
2016-05-09,27.05,23.19,10.58,0,99.9,58.64,3.11,17.25,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,11.21318426
2016-05-10,25.56,23.67,12.05,0,99.9,56.82,2.92,17.9,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,11.63882703
2016-05-11,25.74,23.18,9.56,0,99.9,59.39,2.51,17.37,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,12.02729573
2016-05-12,26.62,23.62,12.02,0,99.9,53.76,2.88,18.08,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,12.32196229
2016-05-13,20.64,22.2,8.77,0,99.9,64.76,2.34,15.1,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,12.56748792
2016-05-14,12.49,11.99,3.46,0,99.9,69.07,4.38,7.1,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,12.59762625
2016-05-15,14.36,11.59,3.1,0.1,99.9,80.75,4.64,5.94,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,12.14208026
2016-05-16,15.36,11.62,2.69,0,99.9,71.43,3.32,7.02,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,11.67817615
2016-05-17,10.64,14.67,5.44,0,99.9,70.95,2.67,9.53,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,11.36819547
2016-05-18,11.52,18.99,7.89,0,99.9,62.03,1.28,12.59,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,11.22615573
2016-05-19,11.81,19.78,8.22,0,99.9,75.53,1.6,12.98,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,11.25741375
2016-05-20,18.33,20.02,6.97,0,99.9,71.52,1.58,14.01,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,11.37971563
2016-05-21,23.41,23.6,10.48,0,99.9,66.58,1.24,16.88,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,11.58874396
2016-05-22,24.01,29.51,10.26,3,99.9,57.49,2.24,19.91,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,11.96063875
2016-05-23,10.21,20.22,12.03,13.8,99.9,87.46,1.39,14.16,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,12.46382729
2016-05-24,3.48,12.04,8.96,3,99.9,98.12,3.29,9.83,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,12.67059672
2016-05-25,7.91,14.99,8.59,0,99.9,89.33,1.13,11.31,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,12.44815094
2016-05-26,18.87,22.36,10.22,0,99.9,74.82,0.98,15.14,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,12.31271672
2016-05-27,16.99,22.13,9.57,4.7,99.9,76.64,1.31,15.37,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,12.45290521
2016-05-28,20.01,24.18,12.34,5.2,99.9,75.27,1.61,17.8,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,12.66061495
2016-05-29,15.16,23.8,14.2,0,99.9,86.78,1.64,18.21,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,13.04341661
2016-05-30,14.12,24.26,12.25,3.2,99.9,87.29,1.46,17.52,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,13.45657016
2016-05-31,23.01,26.13,10.96,5.2,99.9,75.57,1.33,18.33,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,13.70936125
2016-06-01,5.86,21.15,13.92,22.5,99.9,96.12,1.24,16.34,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,13.93686443
2016-06-02,10.66,23.71,12.07,15.1,99.9,91.7,1,16.44,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,14.04688333
2016-06-03,18.28,25.33,10.91,0,99.9,82.13,1.3,17.51,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,14.06262203
2016-06-04,23.35,26.59,11.7,0,99.9,75.17,1.16,19.47,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,14.15913208
2016-06-05,20.16,26.65,12.09,3.5,99.9,85.02,1.07,19.07,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,14.38144849
2016-06-06,26.59,30.37,12.87,2,99.9,74.38,1.07,20.45,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,14.46867479
2016-06-07,28.21,27.79,12.32,0.3,99.9,66.77,1.23,20.05,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,14.72268245
2016-06-08,20.54,24.18,9.96,0,99.9,81.57,2.19,16.99,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,15.19436453
2016-06-09,15.88,18.69,8.64,0,99.9,85.25,2.53,13.37,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,15.4574637
2016-06-10,27.83,22.74,8.31,0,99.9,70.07,2.04,15.05,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,15.34311177
2016-06-11,15.96,22.33,10.48,0,99.9,76.47,0.77,15.92,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,15.45913333
2016-06-12,12.51,22.17,12.54,0.8,99.9,86.76,0.96,15.78,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,15.5585976
2016-06-13,12.05,21.32,11.52,7.8,99.9,90.74,0.87,14.97,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,15.60697698
2016-06-14,17.08,22.25,11.75,1.3,99.9,82.6,1.42,15.92,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,15.58830359
2016-06-15,13.22,21.21,10.12,1.8,99.9,86.81,1.05,14.28,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,15.66241979
2016-06-16,12.47,19.65,8.31,1.6,99.9,84.73,0.72,14.42,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,15.54422667
2016-06-17,12.15,19.63,10.79,5.6,99.9,91.5,1.75,14.35,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,15.3977425
2016-06-18,19.43,22.21,10.82,2.9,99.9,82.78,2.07,15.33,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,15.35232891
2016-06-19,15.11,19.41,7.25,0.6,99.9,87.16,2.48,12.95,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,15.45868224
2016-06-20,25.98,23.32,6.07,2,99.9,73.65,1.47,15.43,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,15.38423396
2016-06-21,19.08,25,12.63,0,99.9,79.02,1.42,18.48,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,15.52201193
2016-06-22,20.31,28.99,16.03,0,99.9,78.82,1.19,20.75,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,15.94426323
2016-06-23,30.04,33.17,15.58,0,99.9,64.96,1.45,25.03,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,16.36092104
2016-06-24,23.27,33.73,16.65,16.3,99.9,80,1.49,22.71,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,17.03740953
2016-06-25,13.86,25.5,12.84,14.0,99.9,93.53,2.74,18.52,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,17.59280698
2016-06-26,22.23,22.56,10.51,14.0,99.9,76.36,1.95,16.11,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,17.69740974
2016-06-27,22.9,22.25,8.99,0.6,99.9,79.09,1.54,15.96,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,17.44679474
2016-06-28,26.85,24.65,10.82,0.3,99.9,75.8,1.47,17.08,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,17.28200219
2016-06-29,23.62,24.48,11.87,0,99.9,74.67,2.29,17.76,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,17.31494391
2016-06-30,12.95,23.44,11.74,0,99.9,73.5,1.42,17.65,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,17.3391674
