Date,global radiation [Mj/qm],max temp [°C],min temp [°C],precipitation [mm],sunshine duration [h],rel hum [%],wind speed [m/s],mean temp [°C],dew point [°C],Kesselverdunstung [mm],vapour saturation deficit [%],snow height [mm],par [mol/qm*d],temp soil at 2cm [°C],temp soil at 5cm [°C],temp soil at 10cm [°C],temp soil at 20cm [°C],temp soil at 50cm [°C]
1991-05-01,16.04,14.3,5.9,15,99.9,87.2,1.5,10.1,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-02,5.83,7.7,5.3,4.1,99.9,87.2,1.5,6.5,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-03,7.67,6.6,3.7,5.8,99.9,87.2,1.5,5.1,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-04,12.19,7.6,3,0.8,99.9,60,2.2,5.3,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-05,13.82,7.3,0.8,0,99.9,74,2.2,4,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-06,11.91,6.7,4.9,3.9,99.9,84.1,1.7,5.8,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-07,17.81,11.7,2.6,0,99.9,80.8,1.8,7.1,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-08,20.68,14.9,1.4,0,99.9,69.9,1.3,8.2,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-09,21.5,17.2,1.6,0,99.9,66.3,2,9.4,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-10,21.58,18.2,4.2,0,99.9,74.4,3.2,11.2,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-11,1.97,10.7,8.4,1.8,99.9,96,1.5,9.6,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-12,2.12,10,5.5,0,99.9,98.7,2.2,7.7,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-13,13.83,13.4,3.4,0,99.9,84.1,1.7,8.4,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-14,14.98,15.9,5.5,9,99.9,84.1,1.7,10.7,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-15,15.39,8.1,2.3,1.7,99.9,84.1,1.7,5.2,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-16,11.57,5.6,1,0,99.9,84.1,1.7,3.3,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-17,16.91,7.8,2.7,4,99.9,87.1,2,5.2,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-18,19.8,11.2,2.3,0,99.9,77.4,2.4,6.8,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-19,22.57,13.7,1.9,0,99.9,67.8,1.6,7.8,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-20,20,15.3,5.6,1.1,99.9,73.3,1.3,10.5,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-21,13.96,19.1,7.8,0,99.9,74.7,2.2,13.4,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-22,18.85,22,13.2,0,99.9,84.1,1.7,17.6,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-23,25.56,10.6,6,0,99.9,84.1,1.7,8.3,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-24,19.93,10.6,2.5,0,99.9,74,1.7,6.6,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-25,11.29,12.1,2.4,3.3,99.9,75.7,1.7,7.3,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-26,8.75,10.2,4.3,7.7,99.9,93.6,1.9,7.2,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-27,27.02,15.1,2.8,0,99.9,74.2,1,9,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-28,23.31,17.8,3.2,0,99.9,70,1.2,10.5,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-29,22.62,17.6,4.4,0,99.9,76.1,1.5,11,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-30,29.4,20.7,5.3,0,99.9,70,1.9,13,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-05-31,26.8,23.2,7.1,0,99.9,66,1,15.1,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-06-01,25.32,22.9,9.2,0,99.9,63,1.9,16.1,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-06-02,30.24,20.9,6.8,0,99.9,64.9,1.5,13.8,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-06-03,11.77,16.3,8.8,5.5,99.9,84.8,2.9,12.5,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-06-04,15.37,12,5.3,0,99.9,77.9,1.7,8.7,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-06-05,23.69,14,4.9,0,99.9,74.5,1.5,9.5,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-06-06,11.56,13.8,6.8,4.8,99.9,89.2,2.2,10.3,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-06-07,20.34,18,8.1,0.3,99.9,80.2,1.3,13,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-06-08,14.35,15.2,9.6,3.5,99.9,92.2,1.6,12.4,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-06-09,22.23,18.9,9.7,0.7,99.9,83.1,2,14.3,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-06-10,21.09,19.3,9.9,0.9,99.9,77.1,2.4,14.6,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-06-11,21.21,17.1,9,0.9,99.9,72.6,2.1,13.1,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-06-12,26.46,21.6,10.9,0.7,99.9,66.9,1.2,16.3,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-06-13,18.07,20.7,11.9,1.9,99.9,77.9,2.2,16.3,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-06-14,14.05,17.3,8.8,3.8,99.9,86.7,1.1,13,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-06-15,25.49,24.1,11.9,1.5,99.9,73.1,1.7,18,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-06-16,5.19,17.1,11.6,37.2,99.9,97.1,1.4,14.3,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-06-17,3.44,12.7,4.8,41.2,99.9,98.9,2.3,8.8,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-06-18,14.55,12.4,4.2,4.2,99.9,93,2.3,8.3,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-06-19,22.64,15.5,4,0.5,99.9,84.8,1.4,9.8,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-06-20,14.55,15.1,6.1,2.9,99.9,91.3,1.2,10.6,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-06-21,20.23,17.4,9.1,0.9,99.9,88.1,1.8,13.3,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-06-22,28.92,26.3,9.9,1.5,99.9,78.8,1.5,18.1,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-06-23,25.73,24.1,13.5,2.3,99.9,84.3,1.1,18.8,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-06-24,17.36,22.3,13.7,3.4,99.9,84.8,1.9,18,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-06-25,17.14,23,13.4,3.1,99.9,88.8,1.4,18.2,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-06-26,20.01,22.7,12.2,4.4,99.9,90.6,1.5,17.4,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1991-06-27,7.3,16.4,7.3,14.4,99.9,95,1.8,11.9,-9.9,999.9,999.9,9999.9,99.9,-99.9,-99.9,-99.9,-99.9,-99.9
